,ID,mol_distribution,monomers,sequence
216408,000000002741680_00001,[0.38992948 0.04183874 0.1125888  0.28491454 0.12675314 0.0439753 ],['Tma' 'Aeg' 'Mep' 'Ni' 'Bam' 'Tmb'],TmaTmaNiMepNiTmaBamNiTmaNiBamMepMepTmaMepNiMepBamTmaNiTmaTmaBamTmaBamTmbNiTmbAegTmaTmaNiNiMepTmaBamNiBamAegTmaTmaBamTmaTmaTmaNiTmbTmaMepNiMepNiTmaTmaBamTmaTmaNiNiNiNiTmaTmaNiTmaTmaTmaAegNiNi
225220,000000002718107_00001,[0.25099179 0.07694563 0.15529657 0.45848809 0.05827793],['Tma' 'Aeg' 'Mep' 'Ni' 'Bam'],TmaMepMepNiNiBamNiTmaNiNiNiMepNiAegNiTmaNiBamNiMepNiTmaNiMepTmaTmaTmaTmaNiTmaNiAegMepAegTmaTmaMepTmaNiNiBamMepNiNiNiNiTmaNiNiNiNiAegNiTmaTmaNiNiMepNiMepBamMepAegNiTmaTmaNiNiTmaNi
226951,000000002732818_00001,[0.39938467 0.12855978 0.11531891 0.29182328 0.06491336],['Tma' 'Aeg' 'Mep' 'Ni' 'Bam'],TmaTmaAegTmaNiNiTmaBamMepTmaNiNiNiNiNiTmaMepTmaAegTmaNiNiBamBamAegNiTmaNiTmaMepTmaNiTmaAegTmaTmaTmaTmaMepAegNiBamMepNiNiTmaMepNiTmaAegTmaTmaNiAegAegTmaTmaTmaNiTmaTmaNiMepTmaTmaTmaNiMepAegBam
228254,000000002743469_00001,[0.4618639  0.09010394 0.3030892  0.07669903 0.06824393],['Tma' 'Aeg' 'Mep' 'Ni' 'Bam'],TmaTmaAegTmaMepTmaMepMepTmaTmaNiMepTmaBamAegTmaTmaMepMepTmaTmaAegTmaTmaMepTmaNiMepMepMepMepTmaTmaTmaTmaMepMepMepMepTmaBamBamMepTmaTmaMepTmaTmaTmaTmaTmaAegTmaMepMepBamAegTmaNiTmaTmaAegTmaNiMepNiBamMepNiTma
229522,000000003231699_00001,[0.50156352 0.04484739 0.24137029 0.07635074 0.13586806],['Tma' 'Aeg' 'Mep' 'Ni' 'Bam'],TmaMepMepTmaTmaNiMepBamTmaBamAegTmaBamMepMepMepMepTmaTmaBamTmaTmaTmaMepTmaTmaMepTmaNiTmaNiTmaBamTmaNiTmaMepTmaMepMepTmaTmaTmaMepTmaMepTmaNiBamTmaTmaAegAegTmaMepTmaTmaBamTmaTmaBamMepBamMepBamTmaTmaTmaTmaTma
266408,000000002684210_00001,[0.11905523 0.12774413 0.40105541 0.1449859  0.10279827 0.10436107],['Tma' 'Aeg' 'Mep' 'Ni' 'Do' 'Bmam'],TmaMepMepMepBmamMepMepMepMepBmamMepDoMepDoNiMepBmamNiNiMepMepMepDoBmamNiNiDoMepBmamMepMepMepAegTmaAegNiNiTmaMepTmaDoDoNiMepMepMepTmaAegTmaMepMepTmaAegDoAegMepNiMepAegMepMepAegTmaAegTmaBmamNiMepAegBmam
299845,000000004115790_00001,[0.52215517 0.0466886  0.31409966 0.07948531 0.03757125],['Tma' 'Aeg' 'Mep' 'Ni' 'Do'],TmaMepMepTmaMepTmaTmaTmaTmaMepTmaTmaNiTmaTmaMepNiAegMepMepMepMepMepTmaMepMepTmaTmaTmaTmaTmaTmaTmaMepMepTmaTmaMepDoMepTmaAegTmaTmaTmaMepMepTmaTmaTmaTmaTmaMepMepNiNiNiTmaMepTmaTmaMepDoTmaTmaTmaNiDoTmaAeg
338053,000000002781636_00001,[0.25698025 0.18382347 0.18550212 0.23471363 0.08266478 0.05631574],['Tma' 'Aeg' 'Mep' 'Ni' 'Olam' 'Bmam'],TmaTmaAegAegAegTmaTmaAegNiNiNiTmaAegTmaTmaNiAegMepBmamBmamMepNiNiNiAegTmaNiAegMepAegBmamTmaTmaNiOlamTmaBmamTmaTmaNiNiMepMepMepOlamAegTmaMepNiOlamTmaTmaMepOlamNiMepAegNiTmaAegOlamTmaAegMepMepOlamNiMepMepNi
350534,000000002715835_00001,[0.20302308 0.08713605 0.23448471 0.37086339 0.10449275],['Tma' 'Aeg' 'Mep' 'Ni' 'Olam'],TmaNiNiTmaNiMepTmaNiAegMepNiTmaTmaNiMepNiNiNiAegOlamNiNiTmaNiNiTmaMepMepNiAegMepNiTmaTmaNiOlamNiNiOlamNiMepNiNiOlamNiNiMepMepOlamTmaMepAegMepMepAegMepNiOlamNiAegTmaOlamMepMepTmaTmaTmaMepNiMep
352567,000000002754417_00001,[0.66247998 0.15232053 0.06831622 0.0864397  0.03044356],['Tma' 'Aeg' 'Mep' 'Ni' 'Olam'],AegTmaTmaTmaNiOlamTmaTmaAegNiAegAegTmaMepTmaTmaTmaAegTmaAegTmaTmaNiTmaTmaAegMepTmaTmaAegNiTmaTmaTmaTmaTmaTmaAegOlamTmaTmaTmaTmaTmaTmaNiTmaTmaTmaTmaNiTmaTmaTmaTmaTmaTmaTmaMepTmaTmaTmaTmaTmaMepMepAegTmaAegTma
387915,000000003830716_00001,[0.15484275 0.08307175 0.27943449 0.35356513 0.05437172 0.07471416],['Tma' 'Aeg' 'Mep' 'Ni' 'Phe' 'Olam'],TmaMepNiOlamTmaMepMepNiNiNiMepTmaNiNiTmaMepTmaPheMepMepMepPheNiOlamNiNiMepMepMepAegNiPheMepAegTmaAegOlamAegNiTmaMepNiMepNiNiOlamNiNiAegMepOlamAegMepMepMepNiTmaMepPheTmaNiNiNiTmaNiNiNiNiNiTma
418990,000000002773975_00001,[0.45671621 0.08909969 0.17982668 0.22753256 0.04682486],['Tma' 'Aeg' 'Mep' 'Ni' 'Tmb'],NiNiMepMepMepNiTmaTmaAegTmaTmaTmaAegMepTmaTmbAegTmaNiTmaTmaMepTmaTmaNiNiTmaMepNiTmaTmaNiTmbTmaNiMepTmaTmaMepTmaTmaTmaMepTmaTmaTmaAegMepNiNiTmbNiAegAegMepTmaTmaTmaNiTmaTmaTmaNiMepTmaNiTmaMepNiTma
419040,000000002774442_00001,[0.57812824 0.04771702 0.19261106 0.08123616 0.10030753],['Tma' 'Aeg' 'Mep' 'Ni' 'Tmb'],TmaTmbTmaNiTmaMepMepTmaTmaMepMepTmaTmaTmaTmaTmbAegTmaTmaTmaNiMepAegTmaTmaTmaTmaMepTmaMepMepMepTmaTmaTmaMepTmbTmaTmbTmaTmaTmaTmaMepNiTmaTmaTmbTmaTmaMepTmaTmaTmaTmaTmbTmaTmaNiTmaTmaAegMepNiTmbTmaMepNiTmaTma
432573,000000002603939_00001,[0.21597717 0.11586982 0.20787187 0.46028114],['Tma' 'Aeg' 'Mep' 'Ni'],TmaTmaMepMepMepTmaNiNiAegMepNiMepNiMepNiAegNiTmaNiNiNiTmaNiMepNiNiAegAegAegNiNiTmaTmaNiNiTmaMepMepNiNiNiAegNiMepMepNiTmaNiNiAegMepTmaNiTmaNiNiTmaAegNiNiNiTmaNiTmaNiMepMepTmaNiMep
435669,000000002712519_00001,[0.57118323 0.14143139 0.12686482 0.16052055],['Tma' 'Aeg' 'Mep' 'Ni'],TmaNiNiTmaAegTmaTmaTmaNiMepTmaTmaAegTmaAegTmaTmaAegTmaTmaTmaAegAegNiAegTmaTmaNiMepTmaMepMepTmaTmaMepTmaAegTmaTmaTmaTmaMepMepNiTmaTmaTmaTmaTmaMepTmaNiTmaTmaTmaNiNiTmaTmaTmaTmaTmaNiAegTmaTmaAegMepTmaNi
438891,000000003199878_00001,[0.5087661  0.13647423 0.12241821 0.23234146],['Tma' 'Aeg' 'Mep' 'Ni'],TmaAegTmaTmaTmaTmaNiAegTmaAegAegTmaNiTmaNiNiTmaTmaMepNiTmaAegMepTmaNiTmaTmaTmaMepNiNiMepTmaAegTmaTmaNiTmaTmaTmaAegAegAegTmaTmaMepTmaMepMepTmaTmaNiTmaTmaTmaTmaNiMepTmaTmaTmaNiNiNiTmaNiMepNiTmaTma
475372,000000003136812_00001,[0.18221879 0.1955175  0.32883824 0.05137548 0.08792355 0.15412644],['Tma' 'Aeg' 'Mep' 'Oct' 'Olam' 'Tmb'],TmaAegMepTmbMepAegMepTmbTmaTmbTmaMepMepOlamMepMepAegAegTmbAegMepMepAegTmaTmbMepTmaTmaMepTmaOlamMepMepOlamOctTmaAegTmaOlamTmaMepMepOlamAegTmbMepTmbMepTmbTmbOctMepAegMepTmbMepMepOlamTmaAegTmaMepAegMepAegOctAegTmaAegTmb
532968,000000003035248_00001,[0.18842923 0.20218119 0.27203664 0.15153364 0.18581931],['Tma' 'Aeg' 'Mep' 'Olam' 'Bmam'],TmaAegOlamOlamTmaMepMepMepTmaBmamMepBmamMepAegBmamMepTmaOlamAegAegOlamMepOlamTmaBmamTmaAegTmaMepMepMepBmamTmaAegMepMepAegBmamTmaBmamOlamOlamAegBmamOlamMepTmaAegTmaOlamMepMepAegAegMepBmamBmamMepMepTmaAegTmaAegOlamOlamBmamBmamMepBmamAeg
6348,000000002602793_00001,[0.28793178 0.2078446  0.32872911 0.17549451],['Tma' 'Mep' 'Ni' 'Bam'],TmaMepNiTmaTmaTmaNiNiNiTmaMepTmaNiTmaNiNiTmaTmaMepTmaBamTmaNiTmaNiTmaBamMepNiNiNiMepBamBamMepNiBamNiNiBamNiBamNiNiTmaTmaMepMepNiTmaMepMepMepBamNiBamMepMepTmaBamNiTmaTmaNiBamBamTmaNiMepMep
9769,000000004055867_00001,[0.54502304 0.24210883 0.07658435 0.13628378],['Tma' 'Mep' 'Ni' 'Bam'],NiTmaTmaBamMepNiTmaBamTmaMepBamTmaMepMepMepTmaTmaMepTmaTmaTmaTmaMepMepTmaTmaTmaTmaBamBamTmaTmaTmaTmaTmaBamTmaMepTmaTmaMepNiBamTmaTmaNiTmaTmaMepTmaTmaNiTmaMepTmaTmaTmaMepMepTmaBamTmaMepTmaMepTmaTmaMepBamBam
10583,000000004420074_00001,[0.53640983 0.17871202 0.15074812 0.13413003],['Tma' 'Mep' 'Ni' 'Bam'],MepMepMepTmaBamMepMepTmaTmaMepTmaNiBamTmaMepTmaTmaBamTmaBamTmaTmaTmaNiMepTmaBamTmaNiTmaTmaTmaTmaTmaNiTmaTmaNiTmaTmaTmaTmaTmaTmaTmaNiNiNiTmaTmaMepTmaTmaBamTmaTmaTmaNiMepTmaBamBamMepMepTmaBamNiNiTmaTma
15197,000000000158697_00001,[0.34241453 0.32956422 0.27799579 0.05002545],['Tma' 'Mep' 'Ni' 'Bmam'],TmaBmamNiTmaTmaMepMepTmaMepTmaTmaBmamMepMepNiMepMepNiTmaNiMepNiNiTmaNiMepMepTmaNiNiTmaMepMepMepNiNiMepMepTmaTmaNiTmaMepTmaTmaMepTmaTmaNiNiTmaNiBmamNiNiMepTmaMepTmaNiMepMepNiTmaMepMepTmaBmamTmaTma
23817,000000003278102_00001,[0.44666436 0.11724592 0.2225248  0.21356492],['Tma' 'Mep' 'Ni' 'Bmam'],TmaNiTmaBmamTmaTmaNiTmaBmamBmamNiTmaTmaMepBmamTmaMepTmaNiNiBmamBmamNiNiMepTmaNiBmamNiTmaTmaBmamNiTmaBmamBmamTmaTmaTmaNiBmamNiTmaTmaMepTmaTmaBmamNiBmamNiTmaMepTmaBmamTmaTmaTmaTmaNiTmaTmaMepTmaNiTmaBmamMepTmaMep
24162,000000003918049_00001,[0.34580475 0.22188481 0.2807482  0.15156224],['Tma' 'Mep' 'Ni' 'Bmam'],TmaTmaTmaNiBmamTmaTmaBmamNiTmaTmaNiMepNiNiTmaTmaNiTmaMepTmaBmamTmaNiMepMepMepMepMepMepNiNiBmamNiTmaTmaTmaMepTmaNiMepNiNiMepTmaMepTmaTmaBmamNiBmamNiNiBmamNiTmaBmamBmamTmaBmamMepMepNiTmaBmamNiMepNiTmaTma
24267,000000003931690_00001,[0.54465272 0.06048608 0.22959696 0.16526424],['Tma' 'Mep' 'Ni' 'Bmam'],NiNiTmaNiTmaTmaMepTmaNiBmamTmaTmaBmamTmaBmamNiNiTmaTmaTmaBmamTmaTmaMepTmaTmaMepTmaTmaTmaTmaTmaTmaTmaNiBmamTmaTmaMepTmaTmaNiTmaTmaTmaNiNiTmaBmamNiTmaTmaNiBmamTmaTmaTmaBmamTmaNiTmaTmaBmamNiBmamNiBmamBmamTmaNi
52803,000000004057254_00001,[0.68731612 0.06615222 0.16740322 0.07912844],['Tma' 'Mep' 'Ni' 'Do'],TmaTmaTmaTmaTmaTmaNiTmaTmaTmaTmaTmaTmaTmaNiNiTmaTmaTmaTmaTmaTmaDoNiNiTmaTmaTmaNiTmaTmaTmaTmaTmaDoDoTmaNiTmaTmaTmaTmaTmaMepTmaNiMepTmaMepTmaTmaMepTmaTmaTmaNiTmaTmaDoNiNiDoNiTmaTmaTmaMepTmaTmaTma
64720,000000004727103_00001,[0.56875142 0.2526494  0.07991857 0.04934031 0.04934031],['Tma' 'Mep' 'Ni' 'Oct' 'Tmb'],MepTmaTmaTmaTmaMepNiTmaTmaMepTmaTmaOctTmaTmbNiTmaTmaTmaTmaTmbTmaTmaTmaMepTmaTmaTmaOctMepMepOctTmaMepTmaMepTmaTmaTmaNiTmaTmaMepTmaTmaMepTmaMepTmaTmaTmaTmaMepNiTmbMepTmaTmaMepMepTmaMepMepMepTmaTmaNiTmaNiTma
67302,000000000215838_00001,[0.38408163 0.22180057 0.35080202 0.04331579],['Tma' 'Mep' 'Ni' 'Oct'],TmaMepMepMepTmaTmaNiNiNiNiTmaNiTmaNiNiNiNiTmaNiMepTmaTmaMepTmaNiNiNiOctMepNiTmaMepTmaTmaOctMepTmaOctNiNiMepMepTmaNiNiTmaTmaTmaNiTmaTmaTmaTmaNiNiTmaNiNiTmaTmaNiMepMepMepTmaMepTmaMepTmaNi
74098,000000004343549_00001,[0.3303257  0.15896453 0.46931717 0.04139259],['Tma' 'Mep' 'Ni' 'Oct'],TmaTmaTmaTmaNiNiTmaMepNiOctTmaTmaMepNiNiTmaMepNiTmaTmaNiNiNiNiNiTmaOctMepTmaMepNiMepNiNiNiTmaNiNiTmaNiTmaTmaNiTmaTmaTmaMepMepNiNiMepNiNiNiNiNiMepMepNiTmaNiTmaNiNiNiNiOctTmaNiTma
114228,000000000155594_00001,[0.2987505  0.32348119 0.2728646  0.10490371],['Tma' 'Mep' 'Ni' 'Phe'],TmaMepTmaMepMepPheMepTmaTmaMepNiPheTmaMepTmaTmaMepNiNiNiPheTmaTmaNiNiMepMepMepPheMepMepMepTmaTmaTmaTmaNiTmaNiNiTmaTmaPheMepNiNiTmaNiMepNiNiNiMepNiNiNiTmaPheMepTmaTmaMepMepMepTmaMepNiPheMepMep
118835,000000000500029_00001,[0.49670745 0.11951669 0.15122304 0.23255282],['Tma' 'Mep' 'Ni' 'Phe'],TmaPheMepTmaPheNiTmaTmaPheTmaTmaTmaPheNiTmaTmaNiNiPheTmaNiTmaNiNiPhePhePheTmaTmaMepTmaMepTmaTmaTmaPheMepNiTmaPheTmaTmaTmaMepTmaMepTmaTmaTmaPhePheNiTmaNiPheTmaMepPheTmaTmaTmaTmaNiTmaMepPheTmaTmaTmaPhe
125291,000000003982962_00001,[0.35679404 0.51510613 0.07241752 0.05568231],['Tma' 'Mep' 'Ni' 'Phe'],TmaMepMepMepTmaMepTmaMepTmaMepMepTmaTmaMepNiMepTmaTmaMepTmaMepMepTmaMepTmaMepMepTmaMepMepTmaTmaMepTmaTmaMepTmaTmaMepMepTmaTmaMepTmaNiMepNiMepNiTmaNiTmaMepPheMepMepMepMepMepMepTmaPheMepPheMepPheMepMepMepTma
130211,000000000766289_00001,[0.35786645 0.17221813 0.29054072 0.1793747 ],['Tma' 'Mep' 'Ni' 'Tmb'],TmaTmbNiNiNiMepNiNiTmbMepTmaTmaNiTmaNiNiNiTmbTmaTmaMepMepTmaTmaTmaMepTmbTmbNiMepMepMepTmaTmbNiTmbTmaTmbTmaTmbMepTmaTmaNiTmaMepTmaTmaTmaTmbTmaNiTmaTmbMepTmaNiNiNiNiTmaTmaNiNiTmbMepNiTmaTmbTma
132555,000000002772325_00001,[0.489307   0.12843928 0.08125635 0.30099737],['Tma' 'Mep' 'Ni' 'Tmb'],TmaMepMepTmaTmaNiTmaTmaTmaTmaTmaTmaNiTmaTmbTmaTmbTmbTmaTmbTmaTmbTmaTmbTmaTmbNiMepTmaMepTmbNiTmbTmaTmaTmaTmbTmaTmbTmbTmaTmaMepMepTmaMepTmbTmbTmbMepNiTmaTmbTmaTmaTmbTmaTmaTmbMepTmbTmbTmaTmaTmaTmaNiTmaTmaTmb
135887,000000004890490_00001,[0.29297005 0.26435186 0.40137752 0.04130056],['Tma' 'Mep' 'Ni' 'Tmb'],TmbMepNiMepMepNiNiTmaTmbNiNiMepTmaNiNiTmaNiTmaMepNiNiMepNiTmaNiNiTmaTmaMepTmaTmaTmaNiNiTmaNiNiNiNiMepMepMepNiTmaTmaTmaMepTmaTmaMepNiMepMepNiMepNiTmaNiTmaTmaTmaNiTmbMepMepNiNiNiTmaMep
141213,000000000768267_00001,[0.41838848 0.16473558 0.41687594],['Tma' 'Mep' 'Ni'],NiMepTmaNiTmaTmaNiTmaTmaTmaTmaNiTmaNiNiNiTmaNiNiNiNiMepTmaTmaTmaMepMepTmaNiTmaMepNiNiNiTmaTmaTmaTmaNiNiTmaNiMepNiNiNiTmaMepTmaNiMepNiNiMepTmaNiTmaNiNiMepNiTmaTmaMepTmaTmaMepTmaNiTma
142031,000000002535147_00001,[0.41238113 0.10824684 0.47937203],['Tma' 'Mep' 'Ni'],NiMepNiTmaTmaTmaTmaTmaTmaTmaTmaTmaNiNiTmaTmaNiTmaNiTmaTmaTmaNiNiTmaMepNiNiTmaNiMepNiMepNiTmaNiNiNiTmaTmaNiTmaNiTmaMepNiNiNiTmaTmaNiMepTmaMepTmaTmaTmaNiNiTmaMepNiNiNiNiNiNiNiNiNi
205699,000000003040850_00001,[0.73673333 0.07090848 0.06319749 0.1291607 ],['Tma' 'Mep' 'Olam' 'Bmam'],TmaTmaTmaTmaTmaOlamTmaTmaTmaTmaTmaTmaTmaMepTmaTmaTmaTmaTmaMepBmamBmamTmaTmaTmaTmaBmamTmaTmaTmaBmamTmaTmaTmaMepOlamTmaTmaTmaTmaTmaOlamBmamTmaBmamTmaTmaTmaMepBmamTmaTmaTmaTmaTmaTmaTmaTmaBmamBmamTmaMepOlamTmaTmaTmaTmaTmaTmaTma
213671,000000001282557_00001,[0.50549618 0.33172204 0.05912974 0.10365205],['Tma' 'Mep' 'Olam' 'Tmb'],TmaTmaMepTmaTmaTmaTmbTmbMepMepMepMepMepTmbMepTmaTmbTmaMepTmbTmaTmaTmaMepMepTmaTmaMepMepMepTmaTmaMepTmbMepTmaTmaOlamTmaTmaOlamMepTmaTmaMepTmaMepMepTmaTmaMepTmaTmaMepOlamTmaTmaMepTmaTmaTmaTmaTmaMepTmaOlamTmaTmbTmaTma
221266,000000000302525_00001,[0.16737867 0.7249374  0.10768393],['Tma' 'Mep' 'Olam'],TmaMepMepMepMepMepTmaMepTmaMepMepMepMepMepMepMepMepMepOlamTmaOlamMepMepMepMepMepOlamMepMepMepTmaMepMepTmaMepOlamTmaMepMepMepMepMepMepMepOlamMepTmaTmaMepTmaMepMepMepMepMepTmaMepMepMepMepMepOlamTmaMepMepMepMepMepMepOlam
222573,000000000953990_00001,[0.60450365 0.33566396 0.05983239],['Tma' 'Mep' 'Olam'],MepTmaMepTmaMepTmaMepMepTmaTmaTmaTmaTmaOlamMepTmaMepTmaTmaTmaTmaOlamMepMepMepTmaTmaMepTmaMepTmaOlamTmaTmaMepTmaTmaMepTmaTmaTmaMepTmaOlamMepTmaTmaTmaMepTmaTmaMepMepMepTmaTmaTmaTmaMepTmaTmaTmaTmaTmaTmaMepTmaTmaMepMep
232752,000000000886419_00001,[0.62253217 0.19259018 0.06245626 0.07227306 0.05014833],['Tma' 'Mep' 'Phe' 'Bam' 'Oct'],TmaTmaTmaTmaOctMepTmaOctTmaTmaTmaOctTmaTmaTmaTmaMepTmaTmaPheTmaMepBamBamMepTmaMepTmaMepTmaTmaTmaPheTmaMepTmaTmaTmaTmaTmaTmaTmaMepTmaMepPheTmaBamTmaOctTmaMepBamTmaTmaMepPheTmaTmaTmaTmaTmaMepMepBamTmaTmaTmaTmaTma
246365,000000000903259_00001,[0.60530484 0.06242021 0.12145581 0.21081914],['Tma' 'Mep' 'Phe' 'Bam'],TmaPheTmaMepTmaTmaBamTmaTmaTmaTmaMepTmaTmaTmaTmaPheBamTmaTmaBamBamTmaTmaTmaBamTmaTmaTmaTmaTmaBamTmaBamTmaTmaBamBamPheTmaTmaTmaTmaTmaTmaBamTmaTmaTmaBamBamTmaPheBamPhePheTmaMepTmaTmaMepTmaTmaBamBamPhePheTmaPheTma
324925,000000000231037_00001,[0.58693304 0.130363   0.25365732 0.02904664],['Tma' 'Mep' 'Phe' 'Olam'],TmaTmaTmaMepPhePheTmaTmaTmaOlamTmaTmaTmaPheTmaTmaTmaPhePheTmaPhePheTmaTmaPheMepMepTmaPheTmaTmaPheOlamMepTmaTmaMepTmaMepPheTmaTmaPheTmaTmaTmaTmaPheTmaTmaPheTmaTmaTmaPheMepMepPheMepTmaTmaTmaTmaPheTmaTmaTmaTmaPheTma
341273,000000002898668_00001,[0.64706472 0.06672657 0.12983503 0.15637368],['Tma' 'Mep' 'Phe' 'Tmb'],TmbTmaTmaTmaPheTmbTmbMepTmaTmaTmaPheTmbTmaPheTmbTmaTmaPheTmaMepTmbTmaTmaTmaTmbTmaTmaMepTmaTmaTmaTmaPheTmaTmaTmaTmaPheTmaTmaTmaTmaTmaTmbPheTmbTmaMepTmaMepTmaTmaPheTmaTmaTmbTmaTmaTmaPheTmaTmaTmaTmaTmaTmaTmaTmaTmb
343161,000000003993337_00001,[0.57536601 0.06389693 0.31082293 0.04991414],['Tma' 'Mep' 'Phe' 'Tmb'],TmaTmaPheMepPhePheMepPheTmaPheTmaTmbTmaTmaTmaTmaMepPheTmaPheTmaPheTmaTmbTmaTmaPhePheTmaTmaTmaTmaTmbTmaTmaPheTmaMepTmaTmaTmaTmaTmaTmaTmaTmaPhePheTmaPheTmaTmaPheTmaPheTmaTmbTmaPheTmaTmaPhePheTmaTmaPhePhePheTmaTma
356057,000000000169951_00001,[0.57844395 0.32119374 0.10036231],['Tma' 'Mep' 'Tmb'],TmbMepTmaTmaMepTmaMepMepTmaTmaTmaTmaTmbTmbTmaMepTmaTmaTmaMepTmaMepTmaTmaMepTmaTmaTmaTmaTmaTmaTmbTmaTmaMepTmaTmaMepTmaTmaMepMepMepTmaTmaTmaMepTmbTmaMepTmaTmaTmaTmbTmbMepMepTmaTmaTmaTmaTmaTmaTmaMepMepMepTmaMepMep
358152,000000000428285_00001,[0.52361059 0.3779702  0.09841921],['Tma' 'Mep' 'Tmb'],MepMepTmaTmaTmaMepTmaTmaMepTmaTmaTmaTmaTmaMepMepTmaTmaTmbMepTmbTmaMepTmbTmaMepMepTmaTmaTmaMepTmaTmaTmaTmaTmaTmaTmaTmaMepTmaTmaMepTmbTmaMepMepMepMepTmaTmaMepMepTmaTmaMepMepTmbTmaMepMepTmbTmaTmaMepTmaMepTmbTmaMep
373149,000000001921080_00001,[0.2276007  0.61099    0.06165453 0.09975477],['Tma' 'Mo' 'Bam' 'Bmam'],MoMoTmaMoMoMoTmaMoMoTmaBamBamTmaTmaMoTmaMoMoMoBmamMoMoTmaMoMoTmaBmamMoMoMoMoBmamMoMoMoBmamMoMoMoBmamBmamBamMoMoMoTmaBamMoTmaMoMoBmamTmaMoMoTmaTmaMoMoMoTmaMoMoMoTmaMoMoMoMoTma
373993,000000002234320_00001,[0.26225698 0.38401318 0.30446803 0.04926181],['Tma' 'Mo' 'Bam' 'Bmam'],TmaMoMoMoBamBmamMoTmaMoBamTmaTmaMoMoTmaMoBamTmaBamMoTmaBamBamBamMoTmaBamTmaMoMoMoBamTmaBamMoBamMoMoMoBamBmamTmaTmaMoMoTmaBamBmamMoBmamBamTmaMoTmaMoMoBamBamTmaTmaMoTmaBamMoBamMoBamMoBamBam
374217,000000002333519_00001,[0.07201805 0.63272015 0.0585267  0.23673511],['Tma' 'Mo' 'Bam' 'Bmam'],TmaMoMoMoMoMoTmaMoMoMoMoMoMoMoBmamMoBmamMoMoBmamMoMoBmamMoMoMoMoMoBmamMoMoMoBmamMoTmaBmamMoMoMoBmamBmamMoBamBmamMoMoMoTmaBmamBamMoMoBmamBmamMoBamMoMoMoMoBmamBmamBmamTmaBmamMoMoMoMoBam
381291,000000002433119_00001,[0.62298537 0.06515817 0.14465134 0.05018484 0.11702028],['Tma' 'Mo' 'Bam' 'Oct' 'Bmam'],TmaTmaTmaTmaTmaBamTmaTmaMoBmamTmaTmaTmaTmaTmaBamTmaTmaTmaTmaTmaOctTmaTmaTmaBamBmamBamBmamTmaTmaTmaTmaBmamTmaMoTmaTmaTmaOctBamMoTmaTmaBamTmaTmaBamMoBamTmaMoBamTmaTmaTmaBmamBmamTmaTmaOctTmaTmaBamBmamTmaTmaTmaBmamTma
423986,000000002348319_00001,[0.33736338 0.30874294 0.06854103 0.28535266],['Tma' 'Mo' 'Bam' 'Tmb'],TmaTmbTmaMoTmbTmaBamTmaTmbTmaMoTmaTmbTmaTmaBamMoTmbMoTmaTmaTmbTmbTmaTmaTmbTmbMoTmaMoTmbTmbMoMoTmaMoMoTmbMoMoTmbTmbTmaTmaTmaMoMoMoBamMoTmaTmaTmbMoTmaTmaTmaMoMoTmaBamBamMoTmaTmbTmbTmbTmbMoTmb
426686,000000006054962_00001,[0.37370626 0.30400235 0.13497724 0.18731415],['Tma' 'Mo' 'Bam' 'Tmb'],TmaTmbTmaTmaTmaTmaTmbTmbTmbTmaTmaMoTmaTmaTmbTmaTmaMoMoMoMoTmbMoBamMoMoTmaMoTmbMoTmaTmaTmaTmbTmaMoBamMoTmaTmbMoTmaTmaTmaMoTmbBamMoMoTmaBamTmbMoBamTmbTmaBamBamBamTmaTmaTmaMoTmbBamMoTmaBamMoMo
427352,000000006693213_00001,[0.23244676 0.51054478 0.12593456 0.1310739 ],['Tma' 'Mo' 'Bam' 'Tmb'],MoMoTmaTmaMoMoTmbTmbMoTmbMoBamMoTmbMoMoBamMoTmbMoMoTmaTmbMoTmbBamTmaMoTmaMoMoMoTmaMoMoTmaBamMoMoMoMoTmaTmaMoMoTmaMoMoMoBamTmbMoMoMoMoTmaTmbBamTmaTmaBamTmaMoTmaMoMoTmaMoBamBam
428431,000000000012109_00001,[0.14414233 0.73871795 0.11713973],['Tma' 'Mo' 'Bam'],MoMoMoMoBamMoBamMoMoMoMoTmaMoTmaMoMoMoMoMoMoBamBamMoMoMoMoMoMoMoBamTmaTmaTmaMoTmaMoMoMoMoMoMoTmaMoBamMoBamMoMoMoTmaMoMoMoMoMoMoMoMoTmaBamMoMoMoMoTmaMoMoMoMoMo
430195,000000000134334_00001,[0.35392613 0.51824092 0.12783294],['Tma' 'Mo' 'Bam'],BamTmaMoTmaMoMoMoMoMoTmaMoMoMoTmaTmaBamTmaBamMoMoBamBamMoTmaMoMoTmaMoMoMoMoMoMoTmaMoMoMoTmaTmaTmaBamMoMoMoTmaMoTmaMoMoTmaMoBamMoMoMoBamMoTmaTmaTmaTmaTmaMoBamMoTmaTmaTmaTmaTma
436855,000000004356492_00001,[0.4894072  0.17915521 0.3314376 ],['Tma' 'Mo' 'Bam'],TmaBamTmaMoTmaBamMoBamTmaTmaBamMoBamTmaMoMoTmaMoBamBamTmaTmaTmaTmaMoTmaTmaBamTmaTmaTmaBamBamTmaTmaTmaMoMoTmaMoBamTmaTmaBamTmaBamBamBamBamTmaBamBamTmaMoTmaTmaBamMoBamTmaTmaMoTmaTmaBamBamTmaTmaTmaBam
