ID,sequence,immunogenic
SID848,TmaTmaTmaTmaMoDoDoTmaMoTmaDoTmaTmaDoTmaMoDoTmaTmaTmaMoMoTmaTmaDoTmaMoTmaTmaTmaTmaTmaDoTmaTmaTmaMoTmaTmaDoTmaDoMoMoTmaDoTmaTmaMoDoMoTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaTmaTmaDoDoTmaTmaTmaTma,Yes
SID849,DoTmaTmaTmaDoTmaTmaDoDoTmaMoDoTmaTmaDoMoTmaTmaDoMoMoTmaTmaTmaTmaMoTmaTmaDoTmaTmaTmaDoTmaTmaMoDoTmaDoTmaMoMoTmaDoTmaMoTmaTmaMoTmaTmaTmaDoDoMoTmaTmaTmaMoMoDoDoDoDoDoTmaTmaTmaDoTma,Yes
SID850,DoTmaTmaMoTmaTmaDoMoDoMoDoMoTmaDoTmaDoMoTmaTmaDoTmaTmaDoTmaMoDoTmaTmaTmaTmaTmaMoDoDoTmaTmaDoDoTmaTmaTmaDoTmaMoDoMoTmaTmaMoTmaTmaTmaTmaTmaMoDoMoMoMoTmaTmaTmaDoDoTmaTmaTmaTmaTmaTma,Yes
SID851,TmaDoTmaTmaDoDoTmaDoTmaTmaTmaTmaDoTmaMoDoTmaTmaDoTmaDoDoTmaTmaDoTmaTmaDoTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaTmaTmaTmaTmaDoMoTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaMoTmaMoTmaTmaDoTmaTmaTmaTmaTmaDoTmaTmaTma,Yes
SID852,TmaDoTmaDoTmaTmaMoTmaTmaTmaMoDoTmaTmaDoTmaTmaTmaTmaTmaTmaDoDoTmaTmaTmaMoMoTmaTmaMoTmaTmaMoDoTmaTmaTmaMoTmaTmaDoDoTmaDoTmaTmaDoMoTmaTmaMoMoDoMoDoDoTmaTmaDoTmaTmaTmaDoMoTmaDoTmaMoDo,Yes
SID853,DoTmaTmaTmaTmaDoDoTmaDoTmaTmaDoMoDoTmaDoDoTmaDoTmaDoMoTmaTmaTmaDoDoMoMoTmaTmaTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaDoTmaTmaDoDoTmaMoDoTmaTmaTmaTmaDoTmaTmaTmaTmaTmaDoTmaMoMoTmaTmaDoTmaDoTma,Yes
SID854,DoMoMoMoMoMoTmaMoTmaTmaTmaTmaTmaTmaDoTmaDoDoDoTmaTmaDoMoTmaTmaTmaTmaTmaTmaDoTmaTmaDoDoDoDoTmaDoTmaDoTmaMoDoDoDoTmaTmaDoTmaTmaTmaTmaTmaDoTmaTmaDoTmaDoTmaDoTmaDoTmaDoDoMoDoTmaMo,Yes
SID855,DoTmaMoMoTmaTmaTmaMoDoTmaMoTmaDoMoDoMoDoTmaTmaTmaTmaTmaTmaDoMoTmaTmaDoDoTmaTmaDoTmaMoTmaDoTmaTmaDoTmaTmaTmaTmaTmaMoTmaTmaTmaDoTmaTmaDoDoTmaDoTmaTmaTmaTmaMoDoDoDoDoDoTmaMoTmaTmaTma,Yes
SID856,TmaDoTmaTmaTmaDoTmaTmaMoMoTmaMoTmaTmaMoMoTmaTmaTmaTmaTmaDoDoDoTmaTmaTmaTmaTmaTmaTmaTmaDoTmaTmaDoMoDoTmaDoTmaTmaTmaMoTmaTmaTmaTmaTmaTmaTmaTmaMoDoDoTmaTmaTmaTmaTmaTmaMoTmaTmaDoDoTmaDoDoTma,Yes
SID857,DoTmaTmaDoDoDoDoTmaTmaDoTmaTmaMoMoTmaTmaMoTmaMoTmaTmaTmaDoDoMoDoTmaDoMoTmaTmaTmaDoTmaMoTmaDoMoDoDoTmaTmaDoTmaTmaTmaTmaMoTmaTmaTmaTmaMoDoTmaTmaTmaTmaTmaDoMoMoTmaTmaMoTmaTmaTmaTmaTma,Yes
SID858,DoTmaTmaMoTmaTmaTmaTmaTmaMoTmaDoTmaDoMoTmaTmaTmaTmaTmaDoTmaTmaMoTmaDoDoDoTmaTmaTmaDoTmaMoTmaTmaMoTmaMoTmaMoTmaDoTmaDoTmaDoMoTmaDoDoTmaMoTmaTmaTmaTmaTmaTmaDoTmaTmaDoDoTmaMoDoTmaMoMo,Yes
SID859,TmaMoDoDoTmaDoDoTmaDoTmaTmaTmaTmaTmaTmaTmaDoMoTmaDoTmaMoDoTmaDoTmaTmaTmaTmaTmaDoTmaTmaTmaTmaMoTmaTmaTmaDoTmaTmaTmaTmaTmaDoDoMoTmaTmaTmaTmaTmaDoTmaTmaTmaDoDoTmaTmaTmaMoMoDoTmaTmaTmaTmaTma,Yes
SID860,TmaDoTmaTmaMoDoMoTmaTmaMoTmaTmaTmaDoTmaDoDoTmaTmaDoDoDoDoTmaDoDoDoDoDoTmaTmaTmaTmaTmaMoTmaTmaDoTmaDoDoDoTmaDoTmaTmaTmaTmaDoTmaTmaDoTmaTmaMoTmaTmaTmaTmaDoTmaMoDoTmaTmaTmaMoTmaDoTma,Yes
SID861,DoTmaTmaTmaDoTmaTmaTmaDoDoDoDoTmaTmaTmaTmaTmaTmaMoTmaTmaTmaDoTmaTmaDoDoTmaMoTmaTmaDoDoTmaTmaDoMoTmaMoTmaTmaDoDoTmaMoDoTmaTmaTmaTmaDoTmaTmaDoMoDoTmaDoTmaTmaMoTmaTmaMoTmaTmaDoTmaTmaDo,Yes
SID862,TmaTmaDoTmaMoMoTmaDoDoTmaMoTmaTmaDoDoMoMoTmaTmaDoTmaDoMoDoMoDoTmaDoMoTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaDoDoDoTmaDoTmaTmaTmaTmaTmaMoMoTmaTmaTmaDoDoTmaTmaTmaTmaDoDoMoTmaTmaTmaTmaTma,Yes
SID863,TmaTmaDoTmaMoDoMoTmaTmaTmaTmaMoTmaTmaTmaDoTmaTmaMoTmaTmaDoDoTmaDoTmaTmaDoTmaDoTmaDoTmaDoTmaTmaMoDoMoMoTmaTmaDoDoTmaMoMoTmaTmaDoTmaMoMoDoTmaDoTmaMoTmaTmaTmaDoMoDoDoDoDoTmaTmaTma,Yes
SID864,TmaDoDoTmaDoDoTmaTmaDoTmaDoDoTmaTmaMoMoTmaTmaTmaTmaDoTmaTmaDoTmaTmaTmaTmaDoTmaTmaTmaTmaTmaDoMoDoDoMoTmaTmaTmaTmaTmaMoMoTmaTmaMoTmaTmaTmaTmaTmaTmaTmaMoTmaDoMoMoTmaTmaTmaTmaDoTmaTmaTmaDo,Yes
SID865,MoDoTmaTmaDoTmaMoTmaTmaTmaTmaTmaDoTmaDoDoTmaTmaTmaMoDoTmaTmaTmaDoDoDoTmaTmaDoDoDoTmaTmaDoDoDoMoTmaTmaDoDoDoTmaDoDoDoTmaTmaTmaTmaTmaMoDoMoDoDoTmaDoDoMoTmaMoMoDoDoTmaTmaTmaMo,Yes
SID866,TmaDoTmaTmaTmaTmaTmaDoDoTmaDoTmaDoTmaMoTmaDoMoDoTmaDoMoTmaDoTmaMoDoMoTmaTmaTmaTmaTmaTmaTmaMoTmaDoTmaTmaDoTmaMoMoTmaMoTmaTmaTmaMoTmaTmaTmaTmaMoTmaTmaTmaDoMoTmaTmaTmaTmaTmaMoDoDoTmaTma,Yes
SID867,TmaTmaDoTmaMoTmaTmaTmaMoTmaMoTmaDoTmaTmaTmaTmaTmaDoTmaTmaDoDoTmaDoDoTmaTmaTmaTmaTmaDoTmaDoTmaMoDoTmaTmaTmaTmaTmaTmaDoDoTmaTmaDoTmaTmaTmaTmaMoTmaDoMoDoTmaDoTmaDoTmaTmaDoDoTmaTmaTmaDoTma,Yes
SID868,DoTmaDoTmaTmaTmaDoTmaTmaTmaMoDoTmaTmaMoTmaTmaTmaTmaTmaTmaTmaTmaDoTmaMoTmaTmaTmaTmaTmaDoDoMoMoDoTmaDoTmaTmaDoTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaMoTmaDoTmaMoTmaDoTmaDoTmaTmaTmaTmaDoTmaTmaTmaTmaTma,Yes
SID869,MoTmaTmaTmaDoTmaTmaMoTmaDoTmaDoMoTmaDoTmaMoTmaTmaTmaMoDoMoTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaDoTmaTmaDoMoDoDoTmaTmaTmaDoTmaMoMoTmaMoTmaTmaDoTmaTmaTmaDoMoTmaTmaTmaDoTmaMoDoDoDoTmaDoDo,Yes
SID870,TmaDoMoTmaTmaDoMoTmaTmaTmaTmaMoTmaTmaMoTmaDoMoDoMoMoTmaTmaDoDoTmaDoTmaTmaDoMoTmaDoDoTmaTmaTmaTmaTmaMoDoDoTmaDoTmaTmaTmaDoTmaDoDoDoDoMoMoTmaTmaTmaDoTmaTmaMoTmaTmaDoTmaTmaDoTmaTma,Yes
SID871,DoMoDoDoDoTmaTmaTmaTmaTmaTmaTmaMoTmaDoTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaDoDoTmaTmaTmaTmaDoTmaTmaTmaDoDoTmaTmaTmaMoDoDoTmaTmaDoDoDoTmaTmaTmaDoDoDoDoTmaTmaDoDoTmaTmaTmaDoTmaTmaTmaDoDoDoDo,Yes
SID872,TmaDoTmaDoMoTmaDoMoTmaTmaTmaTmaMoMoTmaTmaDoTmaDoDoDoTmaDoTmaMoTmaTmaMoDoTmaTmaTmaDoTmaTmaTmaTmaTmaTmaMoDoDoDoMoTmaTmaTmaTmaTmaTmaDoDoTmaTmaTmaMoDoTmaTmaTmaTmaTmaTmaTmaMoMoTmaDoMoDo,Yes
SID873,TmaDoTmaTmaDoTmaMoTmaDoTmaTmaTmaTmaTmaDoTmaDoDoDoDoTmaDoDoTmaTmaTmaTmaDoTmaTmaTmaTmaTmaTmaTmaMoTmaMoDoTmaDoTmaTmaDoDoTmaTmaTmaTmaTmaTmaMoDoTmaTmaDoTmaTmaMoTmaTmaDoTmaDoTmaTmaTmaDoDoTma,Yes
SID874,MoMoMoMoMoTmaTmaTmaTmaTmaTmaTmaDoTmaTmaDoTmaMoDoDoTmaTmaTmaTmaTmaTmaTmaTmaMoTmaTmaTmaDoDoDoTmaDoTmaTmaTmaDoDoDoTmaTmaTmaDoMoTmaDoTmaDoDoDoDoTmaTmaDoTmaTmaDoTmaTmaDoTmaTmaDoDoTmaTma,Yes
SID875,TmaTmaDoTmaTmaTmaDoTmaDoTmaTmaDoTmaTmaMoTmaTmaTmaMoTmaTmaTmaTmaTmaDoMoTmaDoTmaTmaTmaTmaTmaDoDoDoDoTmaMoTmaTmaDoTmaDoTmaDoTmaTmaTmaDoTmaTmaTmaTmaTmaTmaTmaDoMoTmaTmaMoTmaTmaTmaMoTmaTmaDoDo,Yes
SID876,DoTmaTmaTmaDoTmaTmaTmaTmaTmaTmaDoDoTmaDoDoDoTmaTmaTmaTmaDoTmaTmaTmaDoDoTmaTmaDoTmaTmaMoTmaDoTmaTmaMoTmaMoTmaMoTmaMoTmaTmaDoTmaDoTmaMoTmaTmaMoTmaDoTmaTmaTmaTmaMoTmaDoDoTmaTmaTmaTmaTmaTma,Yes
SID877,TmaTmaTmaDoDoTmaTmaTmaMoMoMoTmaTmaTmaDoTmaTmaTmaMoTmaTmaTmaMoTmaDoTmaTmaTmaDoDoTmaDoDoTmaDoMoDoTmaTmaDoTmaTmaDoTmaTmaMoTmaTmaTmaTmaTmaTmaMoTmaTmaDoTmaTmaTmaMoMoTmaTmaTmaTmaDoMoTmaDoMo,Yes
SID878,MoTmaTmaTmaTmaTmaDoTmaDoDoTmaTmaTmaTmaDoTmaDoTmaTmaTmaMoMoTmaTmaTmaDoTmaTmaDoDoTmaTmaTmaMoTmaTmaTmaTmaTmaMoDoMoTmaTmaDoTmaTmaDoDoDoTmaTmaTmaTmaDoTmaMoMoTmaTmaTmaMoTmaDoMoTmaTmaTmaDoTma,Yes
SID879,TmaTmaTmaMoTmaDoTmaTmaDoDoTmaDoDoMoTmaTmaDoTmaTmaMoTmaMoDoTmaMoTmaDoTmaDoTmaMoTmaTmaMoMoTmaDoTmaTmaMoDoDoDoTmaTmaMoTmaTmaTmaTmaMoTmaMoTmaTmaTmaTmaTmaTmaDoTmaMoMoDoDoTmaTmaTmaTmaTma,Yes
SID880,DoDoMoMoDoDoDoMoDoDoTmaTmaTmaTmaMoMoMoTmaTmaDoTmaTmaTmaTmaTmaDoTmaDoDoTmaMoDoTmaTmaTmaDoTmaDoTmaDoMoTmaTmaTmaDoMoMoTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaDoTmaTmaTmaDoTmaTmaDoTmaDoDoDo,Yes
SID881,DoDoTmaMoTmaDoTmaDoTmaMoTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaMoDoTmaDoMoDoDoTmaTmaDoDoTmaMoTmaTmaTmaDoTmaMoTmaTmaDoDoMoTmaMoMoTmaTmaMoDoMoTmaTmaDoDoTmaTmaTmaMoDoTmaTmaDoTmaDoMoDoTmaMo,Yes
SID882,TmaDoMoTmaTmaTmaMoTmaDoTmaTmaDoMoDoDoTmaMoTmaDoTmaMoMoTmaMoTmaDoTmaTmaDoTmaTmaDoDoTmaDoDoTmaTmaTmaTmaTmaTmaDoTmaTmaDoTmaTmaMoTmaTmaTmaDoDoDoMoTmaMoTmaTmaTmaDoTmaTmaTmaTmaDoDoDoTma,Yes
SID883,TmaTmaTmaDoTmaTmaTmaTmaDoDoTmaDoTmaTmaTmaDoTmaMoDoMoMoDoDoTmaTmaTmaTmaTmaTmaTmaTmaTmaDoDoDoMoTmaTmaDoTmaTmaTmaMoTmaTmaDoTmaDoTmaTmaDoDoTmaTmaTmaDoTmaTmaTmaDoTmaDoMoTmaDoDoTmaDoDoDo,Yes
SID884,DoTmaDoTmaTmaTmaTmaTmaTmaTmaTmaMoTmaMoTmaTmaDoTmaMoTmaTmaMoTmaTmaDoMoTmaMoTmaDoTmaDoDoTmaTmaDoTmaTmaTmaDoMoMoDoTmaDoDoTmaTmaDoDoDoTmaTmaDoTmaDoDoTmaTmaTmaTmaTmaDoMoTmaTmaDoDoTmaTma,Yes
SID885,TmaDoMoDoTmaTmaDoTmaTmaMoMoDoDoTmaTmaTmaTmaTmaMoTmaDoMoTmaMoMoTmaMoTmaTmaMoTmaMoTmaMoMoDoMoMoTmaTmaTmaDoTmaTmaDoTmaTmaTmaDoDoDoTmaDoMoTmaTmaDoTmaTmaTmaDoTmaMoTmaDoMoTmaTmaTmaDo,Yes
SID886,MoMoDoTmaMoDoDoDoTmaTmaTmaMoTmaTmaTmaTmaMoMoTmaDoTmaTmaTmaDoDoDoTmaTmaTmaTmaMoDoTmaTmaTmaTmaDoTmaTmaDoDoTmaDoDoDoDoMoDoDoDoTmaDoDoDoTmaTmaDoMoDoTmaTmaMoTmaMoDoTmaTmaTmaTmaTma,Yes
SID887,TmaMoDoTmaTmaTmaTmaTmaTmaDoMoDoDoDoTmaTmaTmaTmaTmaTmaMoDoMoMoTmaDoTmaMoTmaDoMoTmaTmaTmaTmaDoTmaDoTmaTmaDoMoDoMoTmaMoTmaDoTmaTmaMoTmaTmaDoDoDoTmaTmaTmaTmaTmaMoTmaTmaTmaTmaTmaTmaDoDo,Yes
SID888,TmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaTmaDoMoDoDoTmaTmaDoTmaTmaTmaTmaMoTmaTmaTmaTmaMoTmaTmaTmaMoTmaTmaMoDoTmaTmaTmaDoTmaTmaTmaMoDoDoDoMoTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaMoTmaMoTmaDoDo,Yes
SID889,DoMoMoTmaDoTmaDoDoMoDoTmaTmaDoDoDoDoTmaDoDoMoTmaDoTmaTmaDoMoTmaDoTmaDoTmaTmaTmaDoMoTmaTmaMoTmaTmaTmaTmaTmaDoTmaTmaDoDoMoMoTmaDoTmaTmaDoDoTmaTmaTmaMoDoTmaMoDoMoDoTmaMoDoTma,Yes
SID890,TmaMoTmaTmaDoTmaTmaDoTmaTmaDoMoTmaMoMoTmaDoMoTmaTmaTmaMoTmaMoDoDoTmaDoTmaTmaTmaDoTmaDoDoDoTmaTmaDoTmaTmaTmaDoDoDoTmaDoDoTmaTmaTmaDoMoTmaTmaDoMoTmaDoTmaTmaTmaMoDoDoDoTmaDoTmaTma,Yes
SID891,DoMoTmaTmaTmaDoMoDoTmaTmaDoTmaTmaTmaDoTmaTmaDoDoMoDoTmaTmaDoTmaDoMoTmaTmaTmaTmaMoTmaTmaDoTmaDoMoTmaTmaTmaTmaTmaDoTmaDoTmaTmaTmaTmaTmaTmaDoDoDoTmaMoTmaMoMoTmaTmaMoTmaTmaTmaMoTmaDoTma,Yes
SID892,MoTmaTmaMoMoTmaTmaTmaDoTmaTmaTmaMoMoMoTmaMoDoTmaMoTmaTmaTmaTmaDoMoTmaDoDoTmaTmaDoTmaTmaMoTmaDoMoDoTmaTmaDoMoTmaTmaTmaTmaTmaDoDoDoTmaMoMoTmaTmaMoDoTmaTmaTmaTmaTmaTmaDoTmaMoMoTmaDo,Yes
SID893,DoTmaTmaMoTmaTmaDoTmaTmaTmaMoDoTmaDoTmaMoTmaMoMoTmaTmaTmaDoDoTmaMoTmaTmaTmaDoTmaTmaMoTmaTmaDoDoTmaTmaDoDoTmaDoMoTmaMoDoTmaTmaTmaDoTmaTmaDoDoTmaTmaMoDoTmaTmaTmaMoTmaDoDoTmaTmaDoTma,Yes
SID894,DoTmaMoTmaTmaDoMoTmaTmaDoTmaMoDoTmaTmaDoTmaTmaDoMoTmaMoTmaTmaTmaDoTmaDoDoDoMoTmaDoTmaDoTmaTmaDoMoDoTmaDoMoTmaDoTmaTmaDoTmaTmaTmaMoDoDoTmaTmaMoDoDoMoTmaTmaDoDoTmaMoTmaTmaMoDo,Yes
SID895,TmaTmaTmaMoTmaDoDoTmaTmaDoDoDoTmaDoTmaMoDoTmaTmaTmaTmaTmaMoTmaDoTmaTmaDoTmaTmaTmaDoDoDoTmaTmaTmaMoTmaTmaMoMoTmaMoDoTmaTmaTmaMoDoTmaTmaDoTmaTmaDoDoTmaTmaTmaTmaDoMoDoTmaDoDoDoMoTma,Yes
SID896,DoTmaDoDoTmaTmaTmaDoMoTmaTmaTmaTmaTmaDoDoDoTmaTmaTmaTmaDoTmaTmaTmaDoTmaDoMoTmaDoDoTmaTmaDoTmaDoDoTmaMoMoDoDoTmaDoTmaTmaMoTmaTmaTmaTmaTmaTmaMoTmaTmaTmaTmaTmaTmaTmaTmaDoMoTmaDoTmaTmaTma,Yes
SID897,MoTmaTmaTmaDoTmaTmaDoDoDoTmaTmaTmaTmaDoDoMoDoTmaDoMoTmaTmaTmaDoDoTmaTmaTmaTmaTmaMoDoTmaTmaTmaTmaTmaTmaDoDoMoDoDoTmaTmaTmaTmaDoDoTmaTmaDoTmaTmaDoDoTmaMoMoMoTmaMoDoDoTmaTmaTmaTmaDo,Yes
SID898,TmaTmaTmaTmaTmaMoTmaMoTmaDoDoDoMoTmaDoTmaTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaTmaDoTmaTmaTmaTmaTmaMoDoTmaDoMoTmaTmaMoMoTmaTmaTmaMoDoTmaDoTmaTmaTmaMoTmaTmaMoTmaDoTmaTmaTmaTmaTmaMoDoDoDoTmaTma,Yes
SID899,MoDoTmaTmaTmaTmaTmaTmaMoTmaMoTmaTmaMoTmaDoDoMoMoTmaDoTmaTmaTmaTmaTmaTmaDoDoTmaMoTmaTmaTmaDoDoMoTmaTmaDoMoTmaMoTmaTmaTmaTmaTmaTmaDoDoTmaDoTmaDoDoMoDoDoDoMoDoTmaDoTmaDoTmaTmaMoMo,Yes
SID900,TmaMoTmaDoMoDoDoTmaTmaTmaTmaTmaTmaDoTmaTmaDoDoDoTmaTmaTmaMoTmaTmaTmaTmaDoDoTmaMoTmaDoMoDoTmaDoTmaTmaDoTmaMoMoTmaDoTmaTmaMoDoDoTmaTmaTmaTmaTmaDoDoTmaTmaDoTmaTmaTmaDoTmaDoDoMoDoTma,Yes
SID901,TmaTmaTmaTmaTmaTmaTmaDoDoDoDoTmaTmaTmaTmaMoTmaTmaDoTmaTmaDoTmaTmaDoMoTmaTmaTmaTmaTmaDoTmaTmaTmaDoTmaTmaTmaTmaTmaTmaMoTmaDoDoMoTmaTmaTmaTmaTmaTmaTmaMoTmaTmaMoTmaDoTmaTmaTmaTmaDoMoDoDoDoDo,Yes
SID902,TmaDoMoDoTmaTmaTmaTmaTmaTmaTmaTmaDoTmaDoTmaDoTmaTmaTmaTmaTmaMoTmaTmaDoTmaDoTmaMoTmaTmaDoMoMoTmaTmaDoTmaTmaTmaTmaDoMoDoMoTmaTmaDoTmaTmaTmaTmaDoTmaTmaTmaTmaTmaMoTmaDoDoTmaTmaTmaTmaTmaTmaTma,Yes
SID903,TmaMoMoDoTmaTmaTmaDoTmaMoTmaMoDoDoMoTmaTmaTmaMoTmaTmaTmaMoTmaTmaDoTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaMoTmaMoTmaTmaTmaDoTmaTmaTmaMoTmaTmaTmaDoTmaMoMoTmaTmaTmaTmaMoTmaMoTmaTmaTmaDoMoMoTma,Yes
SID904,TmaTmaTmaTmaTmaDoMoTmaDoMoTmaTmaTmaTmaDoDoDoTmaMoTmaDoMoTmaTmaTmaTmaTmaTmaTmaDoTmaDoTmaTmaDoTmaTmaTmaTmaTmaDoTmaTmaMoTmaDoTmaDoTmaTmaTmaTmaTmaDoTmaTmaTmaTmaMoMoDoMoDoMoTmaTmaTmaMoTmaMo,Yes
SID905,TmaTmaTmaDoTmaTmaTmaTmaDoDoTmaTmaTmaDoTmaTmaTmaDoTmaDoTmaDoDoTmaTmaMoTmaTmaTmaTmaDoTmaTmaDoTmaTmaTmaTmaTmaTmaTmaTmaTmaMoTmaDoTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaMoTmaDoTmaDoMoDoDoTmaTmaDoTmaTma,Yes
SID906,TmaTmaMoDoDoTmaTmaTmaTmaTmaTmaDoTmaTmaTmaTmaTmaTmaDoTmaTmaDoMoTmaTmaTmaTmaTmaTmaTmaTmaMoMoMoDoTmaTmaDoTmaDoDoDoTmaTmaDoDoTmaTmaTmaMoTmaDoTmaTmaTmaTmaTmaTmaTmaTmaTmaMoMoTmaMoTmaDoTmaTmaTma,Yes
SID907,MoTmaDoMoTmaTmaTmaTmaMoMoTmaTmaTmaTmaDoTmaTmaDoDoTmaTmaTmaTmaTmaTmaTmaDoTmaDoTmaTmaTmaTmaTmaTmaMoTmaTmaTmaMoTmaMoTmaTmaTmaTmaDoTmaDoTmaDoMoMoTmaMoDoTmaTmaDoDoTmaDoDoTmaTmaDoTmaDoDoDo,Yes
SID908,TmaTmaDoTmaTmaDoTmaMoTmaTmaDoTmaDoTmaDoTmaTmaMoTmaTmaDoTmaMoMoTmaTmaMoTmaTmaTmaDoTmaTmaTmaDoMoTmaTmaTmaDoTmaTmaDoTmaMoDoMoTmaTmaTmaTmaDoTmaTmaTmaMoMoMoMoTmaTmaTmaTmaTmaDoTmaTmaTmaDoTma,Yes
SID909,TmaTmaDoMoTmaTmaTmaDoDoTmaDoDoDoTmaTmaTmaTmaTmaDoDoTmaTmaDoMoDoTmaTmaTmaTmaMoMoTmaTmaTmaMoTmaTmaTmaMoTmaDoTmaTmaTmaTmaTmaDoTmaTmaMoDoDoDoTmaTmaDoDoDoTmaMoTmaDoTmaTmaDoTmaTmaDoTmaTma,Yes
SID910,TmaTmaMoMoTmaDoTmaTmaTmaDoTmaDoDoTmaMoTmaTmaTmaTmaDoMoDoDoTmaTmaDoMoTmaMoTmaTmaTmaDoMoTmaMoMoMoTmaTmaTmaMoDoTmaDoTmaDoTmaTmaTmaTmaTmaTmaTmaDoTmaDoDoTmaTmaDoTmaMoDoDoMoTmaTmaDoTma,Yes
SID911,MoTmaTmaDoDoDoTmaTmaTmaTmaTmaMoTmaTmaTmaDoTmaMoTmaTmaTmaMoTmaTmaMoDoTmaDoDoTmaTmaDoDoDoMoTmaTmaTmaTmaTmaDoMoTmaDoMoTmaTmaTmaMoDoDoTmaMoDoTmaTmaTmaTmaDoTmaTmaDoTmaTmaTmaTmaMoTmaDoTma,Yes
SID912,TmaMoTmaDoMoTmaDoTmaTmaTmaTmaTmaDoTmaTmaDoDoTmaTmaTmaDoMoDoTmaTmaTmaMoDoMoTmaTmaTmaTmaDoDoDoDoTmaMoTmaTmaDoMoTmaTmaTmaTmaDoDoTmaTmaTmaTmaTmaTmaMoMoDoDoMoTmaTmaMoMoTmaDoTmaTmaTmaTma,Yes
SID913,TmaMoTmaDoTmaTmaMoDoTmaTmaTmaMoTmaDoMoTmaMoTmaTmaTmaTmaMoMoDoTmaTmaTmaTmaDoDoDoTmaTmaDoMoTmaTmaTmaDoTmaMoTmaDoTmaTmaDoTmaTmaTmaTmaMoTmaMoTmaDoTmaDoTmaDoTmaTmaTmaDoDoTmaTmaDoDoTmaTma,Yes
SID914,DoTmaTmaMoTmaTmaTmaMoDoTmaDoTmaTmaTmaTmaTmaDoTmaTmaMoTmaDoTmaDoDoTmaTmaTmaDoTmaMoDoTmaDoMoTmaTmaTmaMoTmaMoTmaTmaTmaTmaTmaTmaMoDoDoMoMoTmaTmaTmaMoTmaTmaTmaMoDoTmaTmaTmaTmaTmaTmaDoTmaMo,Yes
SID915,TmaTmaMoTmaTmaTmaTmaTmaTmaMoDoTmaDoTmaTmaTmaTmaTmaTmaDoTmaTmaTmaMoTmaTmaDoTmaTmaTmaDoDoTmaTmaTmaDoTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaDoTmaTmaTmaMoTmaDoDoTmaDoTmaDoDoMoTmaTmaTmaMoTmaTmaDoDoDo,Yes
SID916,MoDoDoDoDoTmaTmaMoDoTmaTmaMoTmaDoTmaTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaDoMoTmaMoDoTmaTmaTmaDoTmaTmaTmaMoTmaTmaDoDoDoDoMoTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaDoTmaDoTmaTmaTmaTmaDoTmaTmaDoMoTmaTma,Yes
SID917,TmaTmaTmaDoDoTmaTmaTmaTmaTmaDoDoDoDoTmaTmaMoTmaDoTmaDoTmaTmaDoDoTmaTmaDoTmaTmaTmaMoDoMoDoTmaTmaMoTmaTmaDoTmaTmaTmaTmaTmaTmaTmaTmaMoTmaTmaTmaDoDoTmaTmaTmaDoDoMoTmaDoTmaDoDoTmaMoDoDo,Yes
SID918,TmaTmaMoDoDoTmaDoMoTmaDoTmaTmaDoMoTmaTmaMoTmaTmaTmaTmaTmaDoTmaDoTmaTmaTmaMoTmaTmaTmaDoMoTmaDoTmaDoTmaTmaDoTmaTmaMoTmaTmaTmaTmaTmaTmaDoMoDoMoTmaMoDoMoDoTmaDoDoTmaTmaTmaTmaTmaMoDoTma,Yes
SID919,TmaTmaMoTmaMoTmaTmaTmaTmaTmaTmaTmaTmaDoTmaTmaTmaDoTmaTmaTmaDoTmaDoDoTmaTmaTmaTmaDoTmaTmaTmaMoTmaTmaDoTmaDoTmaTmaDoTmaDoMoTmaTmaMoTmaDoMoTmaTmaDoTmaDoMoTmaTmaDoTmaDoTmaMoDoTmaDoTmaMoTma,Yes
SID920,DoTmaTmaMoTmaDoTmaMoDoTmaMoTmaDoDoTmaTmaDoTmaTmaTmaTmaDoTmaDoTmaMoTmaTmaTmaTmaMoDoTmaTmaDoTmaTmaDoTmaTmaDoMoTmaTmaTmaMoTmaTmaTmaTmaMoTmaTmaTmaTmaTmaTmaTmaTmaTmaDoTmaMoTmaTmaDoDoDoDoTma,Yes
